id|company|is_unicorn|industries|display_name|turnover|employees|employees_change|turnover_change_percentage
05e11d8a-d3f1-4bb3-84b6-cefa6188e5f5|PROGRAMMABLE EQUITY OÜ|False|['Software & Services']|KOOS.IO|27588.60|3.0|-1.0|-28
06d823db-881f-4e24-b36e-c1401a8d14d5|MOTHERSHIP FOUNDATION OÜ|False|['Fintech', 'Software & Services']|MOTHERSHIP|212.51|3.0|0.0|76
0f4f9012-8c20-4e30-9d83-476e150b814b|SMART MASTERKEY OÜ|False|['Cleantech', 'Household & Personal Products', 'Hardware & Electronic Equipment']|BLE LOCKING|20648.90|3.0|-1.0|100
15f8ec09-a7be-475f-b206-b9c34dcaad4b|CAPTAIN CORROSION OÜ|False|['Manufacturing']|CAPTAIN CORROSION|86500.00|3.0|-2.0|88
19c536b6-2870-4745-a861-7588d2f285cc|HAUTAI OÜ|False|['Software & Services', 'Retail', 'E-commerce']|HAUT.AI|584307.83|3.0|0.0|-42
27f9aa21-0b80-444e-a7de-5cc270bf2a72|HOTELBUDDY TECHNOLOGY OÜ|False|['Travel & Hospitality', 'Hardware & Electronic Equipment', 'Software & Services']|HOTELBUDDY|8997.20|3.0|0.0|-87
532125f3-0d7b-4379-a716-5cc01e3c1e94|FORMALOO OÜ|False|['Data & Analytics', 'Marketing', 'Software & Services']|FORMALOO|30380.78|3.0|-5.0|-31
546a5099-e61c-4ab3-a880-3a9d36b81ca2|SIDEKIK OÜ|False|['Software & Services']|SENTINEL|564317.16|3.0|-2.0|-46
66918f32-5292-4cc7-945f-fa49e1569626|SMART LOAD SOLUTIONS OÜ|False|['Energy', 'Cleantech', 'Software & Services']|THEMO|564786.27|3.0|0.0|110
9841fcbe-79c6-43c7-a1de-4ac9e0ae966c|TEAMDEV MANAGEMENT OÜ|False|['Software & Services']|JXBROWSER|3393135.17|3.0|0.0|-3
9df51c38-5e32-4ccd-a3a9-88a86a0e1fe8|ADACT OÜ|False|['Software & Services', 'Telecommunication & Services']|ADACT|102404.70|3.0|0.0|35
d6595361-252f-41d0-b0c3-05bc6cb24cea|ARTIFY OÜ|False|['Software & Services']|UKU|645726.23|3.0|0.0|1386
0834faf8-da8a-40d7-b49a-e94bd05228fb|NORTHWIND ENGINEERING OÜ|False|['Manufacturing', 'Energy']|CHALLENGER SOLUTIONS|12391.86|2.0|0.0|-69
3801477b-4ae8-4777-80ac-89ea86ee8888|SKUDO OÜ|False|['Manufacturing', 'Aerospace', 'Software & Services']|SKUDO OU|22181.95|2.0|0.0|-74
3eb06c71-6952-46f2-93f0-b3d1b31eaf6c|BINALYZE OÜ|False|['Software & Services']|BINALYZE|1305128.09|2.0|0.0|132
46036184-815c-4eb5-825e-1edf6e5555dd|DATACALCULUS OÜ|False|['Deep tech', 'Data & Analytics', 'Software & Services']|DATACALCULUS|552.52|2.0|0.0|252
5f1e1020-fd2f-4f91-9930-163410f20052|RHOMTRIP OÜ|False|['Transportation', 'Software & Services', 'Travel & Hospitality']|RHOMTRIP|255317.78|2.0|0.0|-26
72d94e89-b773-43a8-beae-188d4f7ac1b5|FACT INDUSTRIES OÜ|False|['Engineering', 'Manufacturing']|FACT INDUSTRIES|3561.00|2.0|0.0|5470
7fbfcaf1-e9ee-4aed-be99-fe958e743089|PAUL-TECH OÜ|False|['Software & Services', 'Agriculture, Aquaculture & Agritech']|PAUL-TECH|62165.73|2.0|0.0|-37
84cac7e4-fb54-4682-9d6b-c068b2eb256f|REPHOP OÜ|False|['Software & Services', 'Fintech']|REPHOP|52901.19|2.0|0.0|-13
8d235ae1-11a6-444f-be7b-a636d68f1012|NUTRILOOP OÜ|False|['Agriculture, Aquaculture & Agritech', 'Engineering']|NUTRILOOP|4877.60|2.0|0.0|-14
a1673f75-71f6-425c-bf2c-af5ceb3483ed|PARTICIP8 OÜ|False|['Software & Services', 'Data & Analytics']|MEKL|245976.54|2.0|0.0|87
a5da5b6b-3163-41fb-99a3-a10c2bdb184e|DIGIOTOUCH OÜ|False|['Healthcare', 'Software & Services']|DIGIOTOUCH|34805.84|2.0|1.0|-54
c2d770cc-7b07-4e65-94dd-23eb53c37300|WAPI OÜ|False|['Transportation', 'Infrastructure & Logistics', 'Software & Services']|WAPI|5032700.20|2.0|0.0|24
cbba5a5b-bd57-46d2-ad7a-3745d5b4f6d0|TUGE ENERGIA OÜ|False|['Energy', 'Engineering']|TUGE ENERGIA OÜ|187977.30|2.0|0.0|1528
cfd3de2a-4198-435d-926c-6c007517cef9|SPEAKLY OÜ|False|['Edtech', 'Software & Services']|SPEAKLY|398473.86|2.0|-1.0|18
